10
12
14
16
18
20
22
24
26
28
29
30
31
32
33
34
35
36
37
38
39
40
41
42
43
44
45
46
47
48

1 > 10+2-2	= 10
2 > 10+4-2	= 12
3 > 10+6-2	= 14
4 > 10+8-2	= 16
5 > 10+10-2	= 18
6 > 10+12-2	= 20
7 > 10+14-2	= 22
8 > 10+16-2	= 24
9 > 10+18-2	= 26
10> 10+20-2	= 28

11> 10+22-3	= 29
12> 10+24-4	= 30
13> 10+26-5	= 31
14> 10+28-6	= 32
15> 10+30-7	= 33
16> 10+32-8	= 34
17> 10+34-9	= 35
18> 10+36-10	= 36
19> 10+38-11	= 37
20> 10+40-12	= 38
21> 10+42-13	= 39
22> 10+44-14	= 40
23> 10+46-15	= 41
24> 10+48-16	= 42
25> 10+50-17	= 43
26> 10+52-18	= 44
27> 10+54-19	= 45
28> 10+56-20	= 46
29> 10+58-21	= 47
30> 10+60-22	= 48


